miRNA 1B 2B 3B 4B 5B 6B 7B 8B 9B 10B 11B 12B 13B 14B 15B 16B 17B 18B 19B 20B 21B 22B 23B 24B 25B 26B 27B 28B 29B 30B 31B 32B 33B 34B 35B 36B 37B 38B 39B 40B 41B 42B 43B 44B 45B 46B 47B 48B 49B 50B 51B 52B 53B 54B 55B 56B 57B 58B 59B 60B 61B 62B 63B 64B 65B 66B 67B 68B 69B 70B
hsa-miR-6749-3p 0.00 0.00 0.00 3.00 1.00 2.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 3.00 1.00 4.00 3.00 1.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 1.00 1.00 0.00 0.00 1.00 5.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1827 1.00 3.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 0.00 0.00 0.00 3.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 4.00 1.00 0.00 0.00 0.00
hsa-miR-5695 15.00 0.00 0.00 4.00 0.00 2.00 2.00 6.00 0.00 0.00 0.00 1.00 15.00 5.00 2.00 5.00 0.00 0.00 0.00 0.00 0.00 4.00 3.00 3.00 1.00 5.00 2.00 0.00 1.00 2.00 19.00 5.00 1.00 7.00 10.00 10.00 6.00 15.00 1.00 2.00 1.00 0.00 0.00 1.00 3.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00 9.00 0.00 1.00 0.00 0.00 0.00 2.00 9.00 2.00 19.00 3.00 0.00 13.00 0.00 0.00 0.00 0.00
hsa-miR-1299 17.00 12.00 13.00 25.00 15.00 68.00 118.00 361.00 80.00 26.00 54.00 4.00 8.00 9.00 8.00 35.00 39.00 1.00 1.00 7.00 1.00 0.00 1.00 27.00 16.00 7.00 1.00 7.00 3.00 105.00 1.00 23.00 12.00 0.00 55.00 5.00 811.00 75.00 9.00 514.00 15.00 34.00 4.00 10.00 62.00 35.00 217.00 52.00 6.00 69.00 678.00 11.00 26.00 20.00 6.00 13.00 17.00 19.00 75.00 141.00 67.00 21.00 83.00 3.00 133.00 94.00 264.00 367.00 66.00 32.00
hsa-miR-374c-3p 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4701-3p 0.00 1.00 2.00 2.00 1.00 0.00 1.00 1.00 8.00 6.00 6.00 1.00 1.00 2.00 1.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 2.00 0.00 0.00 2.00 0.00 1.00 1.00 1.00 2.00 1.00 1.00 6.00 1.00 3.00 5.00 4.00 1.00 0.00 13.00 2.00 3.00 0.00 1.00 1.00 2.00 10.00 2.00 1.00 0.00 5.00 2.00 1.00 0.00 3.00 0.00 2.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 27.00 0.00
hsa-miR-7162-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6131 4.00 1.00 1.00 1.00 7.00 1.00 5.00 8.00 6.00 5.00 2.00 2.00 1.00 1.00 2.00 4.00 1.00 2.00 0.00 1.00 0.00 0.00 0.00 1.00 3.00 2.00 1.00 0.00 0.00 2.00 0.00 4.00 1.00 0.00 3.00 1.00 2.00 3.00 4.00 3.00 5.00 2.00 1.00 12.00 6.00 3.00 0.00 5.00 0.00 3.00 1.00 7.00 2.00 1.00 3.00 0.00 0.00 2.00 2.00 1.00 4.00 1.00 1.00 0.00 12.00 0.00 5.00 40.00 5.00 0.00
hsa-miR-6845-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-320b 5301 2777 5172 7943 10175 7173 11749 8546 7028 4790 6138 3656 6967 5032 2569 8129 7874 3877 1877 3481 829 4544 2182 8365 2782 5242 3560 1008 3655 7293 8308 5168 2283 11286 7365 9622 4756 13646 5264 5276 4431 3916 6785 5180 2840 5126 3780 2951 1790 3281 5519 5630 2130 9001 7187 8222 12987 3904 1674 2620 4604 6677 6180 5775 5425 15210 14328 7929 6522 1786
hsa-miR-505-5p 365.00 55.00 124.00 611.00 269.00 242.00 348.00 497.00 468.00 668.00 433.00 173.00 295.00 166.00 211.00 535.00 114.00 62.00 10.00 83.00 6.00 70.00 32.00 127.00 137.00 235.00 71.00 33.00 62.00 141.00 170.00 82.00 112.00 274.00 209.00 289.00 355.00 133.00 365.00 298.00 445.00 102.00 190.00 556.00 202.00 503.00 183.00 192.00 50.00 278.00 330.00 144.00 62.00 317.00 208.00 102.00 141.00 147.00 87.00 68.00 179.00 186.00 189.00 48.00 253.00 317.00 146.00 188.00 402.00 84.00
hsa-miR-4729 0.00 1.00 4.00 0.00 1.00 5.00 3.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 2.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 2.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6781-5p 6.00 0.00 0.00 2.00 1.00 3.00 5.00 7.00 4.00 3.00 4.00 2.00 4.00 1.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 3.00 2.00 4.00 0.00 5.00 3.00 2.00 3.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 6.00 0.00 0.00 2.00 3.00 2.00 0.00 1.00 0.00 4.00 1.00 0.00 12.00 0.00 19.00 0.00 0.00
hsa-miR-3085-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6822-5p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3664-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-192-5p 13637.00 3348.00 3116.00 3390.00 3643.00 4912.00 5508.00 8188.00 4454.00 2108.00 2418.00 1702.00 15262.00 4676.00 730.00 3350.00 2390.00 764.00 504.00 506.00 432.00 506.00 398.00 1036.00 1829.00 1980.00 814.00 379.00 663.00 1382.00 7423.00 2898.00 2770.00 4192.00 10583.00 4281.00 4679.00 9969.00 1209.00 3671.00 2168.00 760.00 390.00 2862.00 2659.00 1697.00 3584.00 844.00 690.00 1371.00 1863.00 1025.00 789.00 3832.00 945.00 1131.00 1272.00 1579.00 1004.00 583.00 3842.00 1119.00 6970.00 849.00 4950.00 18140.00 13498.00 2337.00 2021.00 1079.00
hsa-miR-548l 197.00 24.00 72.00 120.00 106.00 81.00 74.00 84.00 77.00 127.00 120.00 33.00 102.00 33.00 35.00 72.00 67.00 27.00 14.00 11.00 7.00 15.00 18.00 50.00 41.00 96.00 21.00 10.00 14.00 38.00 46.00 36.00 17.00 30.00 70.00 37.00 83.00 98.00 58.00 73.00 79.00 13.00 23.00 115.00 41.00 74.00 58.00 52.00 20.00 85.00 78.00 57.00 26.00 53.00 57.00 37.00 48.00 31.00 16.00 9.00 27.00 32.00 31.00 22.00 153.00 151.00 111.00 176.00 104.00 0.00
hsa-miR-9902 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6830-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1283 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6729-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5006-3p 5.00 3.00 3.00 15.00 0.00 2.00 4.00 9.00 4.00 9.00 4.00 6.00 3.00 2.00 3.00 6.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 7.00 3.00 5.00 1.00 0.00 4.00 4.00 0.00 4.00 2.00 3.00 3.00 0.00 3.00 1.00 7.00 3.00 11.00 1.00 8.00 21.00 8.00 21.00 7.00 3.00 0.00 8.00 5.00 9.00 1.00 0.00 11.00 1.00 2.00 12.00 0.00 2.00 2.00 4.00 2.00 0.00 15.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5689 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-412-3p 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 9.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 5.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-130b-3p 1402.00 259.00 917.00 1327.00 655.00 765.00 479.00 776.00 786.00 952.00 636.00 344.00 1297.00 385.00 367.00 1011.00 773.00 282.00 119.00 228.00 86.00 113.00 71.00 405.00 324.00 534.00 186.00 95.00 201.00 527.00 676.00 467.00 412.00 559.00 848.00 350.00 1248.00 849.00 628.00 1017.00 1332.00 386.00 289.00 1062.00 680.00 1001.00 655.00 268.00 284.00 651.00 587.00 674.00 197.00 781.00 421.00 362.00 462.00 404.00 201.00 149.00 408.00 368.00 436.00 243.00 1507.00 1850.00 1550.00 685.00 947.00 1.00
hsa-let-7c-5p 5583.00 2085.00 2219.00 6821.00 2598.00 4250.00 3845.00 3252.00 4102.00 6237.00 4357.00 1742.00 6881.00 2611.00 1892.00 4182.00 1332.00 683.00 255.00 945.00 263.00 1021.00 565.00 2177.00 2110.00 1904.00 788.00 418.00 776.00 1933.00 2471.00 1131.00 1126.00 4835.00 3099.00 3727.00 2730.00 1839.00 2364.00 2612.00 2682.00 909.00 2580.00 3564.00 1892.00 2786.00 1673.00 1567.00 601.00 3247.00 3203.00 1991.00 1015.00 4965.00 1973.00 1301.00 1807.00 1402.00 866.00 837.00 3268.00 2377.00 4541.00 1113.00 3809.00 6051.00 1858.00 6896.00 4425.00 2830.00
hsa-miR-548z 242 48 76 80 138 43 66 97 50 30 76 18 223 46 14 50 56 14 11 8 0 12 10 18 36 20 10 22 15 38 88 80 75 39 158 53 141 269 30 162 59 45 24 120 96 75 170 34 34 42 47 24 10 40 16 18 26 34 10 6 96 32 66 20 87 130 180 36 0 0
hsa-miR-203a-3p 20.00 4.00 23.00 25.00 16.00 6.00 2.00 6.00 1.00 1.00 13.00 49.00 24.00 2.00 9.00 7.00 19.00 7.00 1.00 5.00 6.00 3.00 19.00 4.00 3.00 28.00 11.00 3.00 9.00 26.00 2.00 17.00 28.00 6.00 3.00 4.00 17.00 2.00 4.00 33.00 45.00 29.00 11.00 47.00 24.00 55.00 34.00 7.00 4.00 13.00 24.00 19.00 6.00 9.00 11.00 18.00 21.00 14.00 8.00 16.00 11.00 5.00 1.00 2.00 6.00 29.00 36.00 0.00 38.00 0.00
hsa-miR-377-3p 179.00 205.00 101.00 96.00 29.00 43.00 16.00 39.00 62.00 14.00 98.00 66.00 59.00 63.00 13.00 105.00 69.00 59.00 61.00 36.00 25.00 26.00 11.00 50.00 9.00 98.00 26.00 66.00 152.00 55.00 23.00 53.00 352.00 6.00 95.00 24.00 331.00 36.00 227.00 181.00 168.00 66.00 142.00 515.00 178.00 262.00 256.00 27.00 447.00 122.00 178.00 306.00 39.00 33.00 35.00 39.00 82.00 23.00 35.00 35.00 92.00 87.00 23.00 12.00 321.00 94.00 131.00 30.00 27.00 0.00
hsa-miR-6783-3p 6.00 5.00 3.00 5.00 5.00 5.00 17.00 8.00 12.00 3.00 1.00 2.00 9.00 0.00 3.00 8.00 2.00 0.00 0.00 0.00 0.00 3.00 0.00 2.00 1.00 3.00 1.00 0.00 2.00 1.00 3.00 3.00 3.00 3.00 7.00 9.00 1.00 7.00 2.00 3.00 7.00 0.00 8.00 3.00 4.00 9.00 0.00 4.00 0.00 1.00 1.00 1.00 1.00 7.00 1.00 1.00 0.00 3.00 0.00 0.00 3.00 3.00 10.00 2.00 0.00 10.00 0.00 0.00 0.00 0.00
hsa-miR-4319 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-498-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6841-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-374c-5p 7.00 1.00 1.00 4.00 2.00 3.00 3.00 3.00 0.00 2.00 2.00 1.00 4.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 1.00 1.00 4.00 0.00 2.00 1.00 1.00 2.00 0.00 1.00 0.00 5.00 5.00 1.00 2.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00
hsa-miR-199b-3p 622431 107379 586270 510558 151664 125711 80893 85230 180239 474486 369036 102181 169124 89374 148891 388269 449456 139866 48518 109355 47467 47186 22447 169578 188679 307985 45356 42119 85288 139877 17358 80203 125924 9097 166016 37421 515041 26554 293050 572855 476867 101494 77826 660914 506009 326894 494790 134094 101332 464048 446662 230639 71524 57037 214431 93686 112700 97746 60685 41102 204797 189752 15160 27262 1192847 232277 179097 184653 303611 33422
hsa-miR-12120 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-454-3p 13152.00 4094.00 2476.00 7922.00 1853.00 9086.00 7728.00 5758.00 5097.00 7901.00 4507.00 1434.00 18066.00 4982.00 2036.00 8437.00 2796.00 995.00 511.00 837.00 419.00 741.00 534.00 1290.00 1302.00 2479.00 888.00 393.00 880.00 1956.00 7057.00 2736.00 3253.00 8568.00 9915.00 5853.00 5098.00 5518.00 3338.00 5596.00 6690.00 1268.00 1641.00 9075.00 5107.00 4649.00 3585.00 1612.00 952.00 3588.00 3459.00 2157.00 991.00 8422.00 2343.00 1205.00 1719.00 1475.00 1284.00 751.00 4443.00 1896.00 8868.00 481.00 2398.00 6359.00 1317.00 1441.00 1717.00 800.00
hsa-miR-4639-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6165 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1278 0.00 7.00 5.00 2.00 0.00 0.00 1.00 4.00 2.00 5.00 3.00 1.00 8.00 0.00 3.00 4.00 4.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 4.00 0.00 0.00 4.00 2.00 2.00 3.00 2.00 1.00 2.00 1.00 4.00 4.00 0.00 7.00 1.00 0.00 0.00 9.00 5.00 2.00 6.00 0.00 0.00 1.00 0.00 0.00 1.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 4.00 0.00 8.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6865-5p 0.00 0.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 1.00 4.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 4.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 1.00 1.00 1.00 0.00 3.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 1.00 2.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 5.00 1.00 2.00 8.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5699-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6746-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6720-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-874-5p 32.00 13.00 14.00 36.00 30.00 30.00 43.00 35.00 22.00 28.00 20.00 4.00 30.00 11.00 9.00 38.00 6.00 1.00 1.00 2.00 0.00 0.00 0.00 4.00 5.00 4.00 8.00 0.00 3.00 9.00 13.00 9.00 17.00 31.00 23.00 16.00 21.00 20.00 8.00 22.00 35.00 2.00 16.00 37.00 28.00 23.00 12.00 6.00 7.00 21.00 24.00 15.00 6.00 18.00 13.00 21.00 4.00 17.00 3.00 4.00 22.00 14.00 19.00 4.00 34.00 37.00 41.00 31.00 0.00 0.00
hsa-miR-6505-3p 2.00 2.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 4.00 0.00 2.00 2.00 4.00 5.00 0.00 1.00 0.00 8.00 0.00 2.00 0.00 0.00 2.00 2.00 0.00 4.00 0.00 2.00 6.00 2.00 2.00 1.00 0.00 0.00 2.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6849-5p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
