miRNA 1A 2A 3A 4A 5A 6A 7A 8A 9A 10A 11A 12A 13A 14A 15A 16A 17A 18A 19A 20A 21A 22A 23A 24A 25A 26A 27A 28A 29A 30A 31A 32A 33A 34A 35A 36A 37A 38A 39A 40A 41A 42A 43A 44A 45A 46A 47A 48A 49A 50A 51A 52A 53A 54A 55A 56A 57A 58A 59A 60A 61A 62A 63A 64A 65A 66A 67A 68A 69A 70A
hsa-miR-3150b-5p 0.00 0.00 0.00 1.00 8.00 0.00 5.00 7.00 1.00 2.00 14.00 0.00 1.00 1.00 2.00 1.00 0.00 1.00 2.00 8.00 6.00 1.00 2.00 1.00 2.00 2.00 5.00 1.00 5.00 2.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 11.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 3.00 2.00 6.00 15.00 1.00 0.00 0.00 3.00 1.00 1.00 7.00 0.00 23.00 0.00 0.00 0.00 0.00
hsa-miR-6834-5p 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3174 5.00 0.00 0.00 23.00 44.00 18.00 0.00 8.00 7.00 18.00 21.00 1.00 12.00 8.00 14.00 25.00 5.00 20.00 5.00 10.00 2.00 0.00 0.00 12.00 7.00 3.00 3.00 1.00 6.00 15.00 2.00 12.00 8.00 5.00 6.00 17.00 4.00 7.00 4.00 8.00 12.00 25.00 18.00 6.00 19.00 7.00 10.00 2.00 1.00 13.00 8.00 11.00 0.00 7.00 7.00 17.00 11.00 8.00 0.00 0.00 2.00 5.00 2.00 3.00 8.00 0.00 0.00 72.00 0.00 66.00
hsa-miR-6739-5p 0.00 0.00 0.00 1.00 1.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1206 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-934 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6823-5p 0.00 0.00 0.00 0.00 2.00 3.00 0.00 2.00 3.00 1.00 2.00 0.00 0.00 2.00 2.00 0.00 1.00 2.00 0.00 2.00 0.00 6.00 0.00 1.00 4.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 1.00 3.00 1.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 22.00
hsa-miR-3939 1.00 1.00 0.00 5.00 13.00 10.00 0.00 1.00 6.00 6.00 2.00 7.00 4.00 9.00 1.00 9.00 2.00 0.00 0.00 4.00 0.00 4.00 1.00 6.00 2.00 2.00 1.00 0.00 6.00 1.00 2.00 4.00 2.00 6.00 11.00 5.00 2.00 2.00 0.00 9.00 12.00 12.00 3.00 3.00 4.00 2.00 0.00 3.00 1.00 5.00 0.00 4.00 2.00 2.00 2.00 3.00 2.00 6.00 0.00 0.00 0.00 3.00 9.00 0.00 2.00 0.00 0.00 0.00 0.00 23.00
hsa-miR-548am-3p 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 2.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 3.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-424-5p 86.00 151.00 128.00 69.00 513.00 1444.00 148.00 95.00 153.00 129.00 482.00 651.00 320.00 185.00 202.00 91.00 64.00 418.00 147.00 198.00 753.00 187.00 157.00 194.00 198.00 187.00 117.00 257.00 567.00 228.00 47.00 113.00 164.00 200.00 589.00 556.00 100.00 523.00 99.00 89.00 191.00 814.00 169.00 164.00 851.00 178.00 121.00 140.00 64.00 140.00 244.00 166.00 96.00 212.00 331.00 748.00 375.00 128.00 73.00 46.00 273.00 117.00 343.00 350.00 222.00 88.00 104.00 447.00 63.00 258.00
hsa-miR-6868-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-194-5p 331 139 2057 805 1918 2452 302 351 482 732 1183 12822 12645 3578 460 3183 233 887 200 454 420 328 310 755 320 344 318 206 463 308 1609 2543 407 2134 8484 7044 4859 7241 3108 6385 1235 1160 671 268 1876 713 976 6932 390 974 497 430 308 455 638 1998 3010 457 350 264 2232 3026 7963 201 2741 112 340 1174 166 1110
hsa-miR-6502-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3667-3p 3.00 3.00 0.00 6.00 2.00 0.00 0.00 8.00 2.00 7.00 7.00 0.00 6.00 6.00 4.00 18.00 3.00 0.00 0.00 14.00 5.00 1.00 6.00 4.00 23.00 18.00 1.00 0.00 1.00 0.00 0.00 2.00 2.00 4.00 3.00 7.00 0.00 6.00 0.00 5.00 7.00 9.00 7.00 1.00 9.00 4.00 9.00 0.00 1.00 4.00 14.00 4.00 0.00 13.00 3.00 3.00 1.00 4.00 1.00 0.00 4.00 4.00 4.00 6.00 0.00 0.00 43.00 0.00 0.00 34.00
hsa-miR-1322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6842-3p 55.00 1.00 5.00 188.00 274.00 135.00 28.00 83.00 127.00 99.00 197.00 77.00 76.00 71.00 111.00 136.00 25.00 139.00 24.00 110.00 31.00 50.00 53.00 145.00 37.00 74.00 19.00 37.00 80.00 79.00 25.00 92.00 72.00 87.00 149.00 134.00 71.00 73.00 78.00 89.00 120.00 169.00 206.00 80.00 75.00 70.00 76.00 57.00 20.00 86.00 84.00 48.00 6.00 48.00 86.00 116.00 116.00 114.00 17.00 9.00 45.00 93.00 55.00 30.00 167.00 50.00 190.00 248.00 78.00 68.00
hsa-miR-5189-3p 16.00 2.00 5.00 2.00 32.00 27.00 0.00 36.00 30.00 84.00 38.00 2.00 32.00 24.00 53.00 57.00 10.00 24.00 18.00 13.00 5.00 26.00 19.00 63.00 19.00 83.00 20.00 44.00 2.00 31.00 0.00 61.00 40.00 0.00 31.00 62.00 21.00 36.00 1.00 73.00 23.00 101.00 43.00 45.00 67.00 40.00 52.00 8.00 22.00 63.00 45.00 29.00 7.00 8.00 15.00 30.00 23.00 55.00 13.00 4.00 1.00 43.00 12.00 52.00 0.00 20.00 36.00 78.00 108.00 20.00
hsa-miR-4742-3p 21.00 1.00 28.00 96.00 82.00 44.00 21.00 14.00 27.00 38.00 73.00 42.00 53.00 60.00 50.00 122.00 9.00 28.00 13.00 27.00 20.00 22.00 15.00 47.00 23.00 31.00 17.00 34.00 23.00 32.00 52.00 37.00 25.00 66.00 33.00 32.00 66.00 11.00 51.00 79.00 41.00 46.00 43.00 26.00 44.00 45.00 31.00 67.00 11.00 31.00 35.00 26.00 5.00 21.00 23.00 30.00 38.00 43.00 3.00 10.00 47.00 54.00 29.00 16.00 49.00 0.00 165.00 51.00 167.00 58.00
hsa-miR-190b-5p 124.00 3.00 53.00 258.00 659.00 566.00 46.00 153.00 209.00 189.00 441.00 265.00 259.00 144.00 176.00 299.00 66.00 537.00 88.00 356.00 105.00 81.00 76.00 155.00 52.00 92.00 29.00 59.00 168.00 91.00 51.00 139.00 224.00 98.00 221.00 271.00 160.00 166.00 130.00 71.00 218.00 250.00 280.00 85.00 178.00 116.00 103.00 153.00 33.00 140.00 133.00 105.00 34.00 68.00 154.00 348.00 228.00 124.00 35.00 25.00 108.00 140.00 112.00 40.00 122.00 52.00 271.00 271.00 89.00 330.00
hsa-miR-4495 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548bb-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4518 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3944-3p 1.00 0.00 0.00 2.00 6.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 2.00 0.00 0.00 2.00 0.00 3.00 1.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 1.00 0.00 0.00 3.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3609 1.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 3.00 0.00 1.00 6.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 1.00 1.00 0.00 0.00 0.00 2.00 0.00 2.00 1.00 0.00 4.00 1.00 4.00 5.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 1.00 0.00 2.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548aw 4.00 3.00 0.00 4.00 4.00 5.00 3.00 4.00 0.00 3.00 2.00 12.00 11.00 3.00 1.00 3.00 0.00 1.00 3.00 4.00 2.00 3.00 1.00 0.00 0.00 4.00 5.00 1.00 0.00 1.00 0.00 2.00 0.00 2.00 13.00 19.00 5.00 11.00 3.00 2.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 8.00 0.00 3.00 1.00 0.00 1.00 1.00 0.00 4.00 3.00 4.00 0.00 0.00 3.00 0.00 30.00 3.00 0.00 0.00 0.00 19.00 0.00 0.00
hsa-miR-609 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7110-5p 1.00 0.00 2.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7975 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548a-3p 39 57 57 68 114 653 3 45 129 119 212 84 238 179 126 131 57 109 78 57 81 60 63 215 45 96 63 54 294 102 18 71 762 108 253 636 20 93 93 47 102 1138 334 210 1181 156 218 27 58 175 286 278 54 122 129 330 168 159 48 42 24 60 21 147 75 0 192 1104 237 372
hsa-miR-6126 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4440 1.00 0.00 1.00 4.00 31.00 7.00 3.00 6.00 7.00 3.00 25.00 6.00 5.00 5.00 14.00 3.00 1.00 5.00 8.00 18.00 4.00 4.00 6.00 5.00 3.00 1.00 3.00 3.00 4.00 1.00 5.00 2.00 2.00 7.00 4.00 5.00 6.00 15.00 6.00 10.00 7.00 4.00 1.00 0.00 4.00 0.00 3.00 3.00 0.00 1.00 1.00 0.00 0.00 7.00 6.00 20.00 5.00 8.00 2.00 0.00 6.00 7.00 6.00 4.00 2.00 0.00 9.00 19.00 0.00 0.00
hsa-miR-378h 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 5.00 0.00 1.00
hsa-miR-1255a 32.00 4.00 4.00 47.00 30.00 51.00 4.00 11.00 30.00 19.00 27.00 87.00 71.00 14.00 11.00 78.00 0.00 0.00 1.00 36.00 14.00 3.00 10.00 16.00 4.00 11.00 4.00 5.00 18.00 12.00 19.00 46.00 18.00 4.00 61.00 76.00 19.00 40.00 32.00 30.00 0.00 21.00 31.00 25.00 59.00 10.00 22.00 0.00 6.00 49.00 3.00 12.00 0.00 10.00 14.00 38.00 39.00 15.00 1.00 6.00 21.00 23.00 42.00 0.00 25.00 0.00 9.00 0.00 0.00 0.00
hsa-miR-7976 17.00 0.00 36.00 33.00 129.00 83.00 17.00 25.00 14.00 33.00 69.00 219.00 308.00 130.00 38.00 159.00 9.00 41.00 7.00 43.00 9.00 15.00 26.00 42.00 6.00 24.00 14.00 32.00 29.00 22.00 92.00 136.00 15.00 92.00 300.00 204.00 242.00 479.00 179.00 360.00 92.00 67.00 57.00 9.00 54.00 30.00 31.00 219.00 20.00 50.00 21.00 16.00 3.00 39.00 36.00 104.00 51.00 42.00 16.00 11.00 105.00 95.00 265.00 13.00 64.00 0.00 0.00 81.00 0.00 50.00
hsa-miR-3059-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1468-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4719 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 2.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4727-5p 0.00 0.00 0.00 0.00 3.00 5.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-620 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-451b 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 5.00 8.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 2.00 2.00 8.00 3.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6832-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4660 2.00 0.00 1.00 7.00 9.00 6.00 3.00 23.00 3.00 6.00 4.00 7.00 8.00 7.00 12.00 12.00 2.00 3.00 0.00 2.00 0.00 3.00 4.00 15.00 0.00 0.00 2.00 14.00 0.00 2.00 3.00 4.00 3.00 3.00 12.00 5.00 14.00 11.00 3.00 15.00 9.00 3.00 7.00 0.00 8.00 0.00 1.00 13.00 2.00 1.00 1.00 4.00 3.00 3.00 2.00 1.00 3.00 1.00 0.00 0.00 10.00 11.00 16.00 0.00 13.00 16.00 0.00 0.00 0.00 0.00
hsa-miR-619-5p 1.00 3.00 0.00 6.00 3.00 5.00 0.00 0.00 2.00 0.00 3.00 6.00 4.00 3.00 1.00 2.00 0.00 3.00 1.00 2.00 0.00 0.00 0.00 3.00 0.00 1.00 0.00 1.00 1.00 0.00 2.00 5.00 2.00 5.00 3.00 10.00 5.00 0.00 4.00 1.00 3.00 1.00 1.00 3.00 3.00 4.00 2.00 0.00 1.00 3.00 1.00 2.00 0.00 0.00 2.00 5.00 1.00 2.00 0.00 0.00 0.00 7.00 5.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6838-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-597-5p 0.00 1.00 0.00 1.00 11.00 14.00 0.00 0.00 2.00 6.00 6.00 2.00 6.00 0.00 1.00 1.00 0.00 0.00 1.00 0.00 4.00 4.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 1.00 2.00 0.00 3.00 6.00 0.00 0.00 0.00 0.00 2.00 7.00 0.00 0.00 11.00 4.00 5.00 1.00 2.00 0.00 4.00 2.00 0.00 0.00 3.00 8.00 6.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6127 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-550a-3p 15 9 126 33 54 30 27 15 36 24 24 126 255 159 18 351 6 33 0 3 3 12 9 15 36 15 39 6 12 21 420 117 27 96 93 168 171 120 87 333 27 18 45 27 36 39 117 204 60 48 24 9 15 48 15 18 69 33 27 18 69 108 303 18 111 0 0 0 0 0
hsa-miR-3144-3p 0.00 0.00 0.00 4.00 4.00 0.00 0.00 6.00 0.00 0.00 2.00 2.00 3.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 2.00 0.00 1.00 2.00 0.00 0.00 3.00 2.00 1.00 0.00 5.00 0.00 3.00 3.00 5.00 2.00 1.00 1.00 0.00 0.00 3.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 4.00 2.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3127-3p 1.00 0.00 0.00 10.00 1.00 0.00 1.00 4.00 6.00 4.00 2.00 2.00 3.00 5.00 1.00 12.00 6.00 5.00 0.00 6.00 1.00 1.00 2.00 1.00 4.00 7.00 4.00 1.00 5.00 3.00 1.00 1.00 3.00 3.00 1.00 2.00 1.00 0.00 0.00 2.00 17.00 11.00 18.00 5.00 4.00 0.00 13.00 3.00 4.00 5.00 6.00 6.00 0.00 3.00 3.00 2.00 8.00 7.00 0.00 0.00 0.00 3.00 2.00 7.00 0.00 0.00 0.00 0.00 0.00 0.00
