miRNA 31A 31B 32A 32B 33A 33B 34A 34B 35A 35B 36A 36B 37A 37B 38A 38B 39A 39B 40A 40B 41A 41B 42A 42B 43A 43B 44A 44B 45A 45B 46A 46B 47A 47B 48A 48B 49A 49B 50A 50B 51A 51B 52A 52B 53A 53B 54A 54B 55A 55B 56A 56B 57A 57B 58A 58B 59A 59B 60A 60B 61A 61B 62A 62B 63A 63B 64A 64B 65A 65B 66A 66B 67A 67B 68A 68B 69A 69B 70A 70B
hsa-miR-4443 0.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 2.00 1.00 0.00 1.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 2.00 3.00 0.00 0.00 2.00 0.00 1.00 1.00 0.00 1.00 0.00 3.00 0.00 1.00 0.00 0.00 6.00 1.00 1.00 2.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 5.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4528 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2116-3p 3.00 0.00 2.00 3.00 6.00 3.00 2.00 0.00 1.00 0.00 3.00 0.00 0.00 4.00 1.00 0.00 1.00 12.00 1.00 3.00 9.00 9.00 6.00 2.00 16.00 3.00 3.00 5.00 3.00 11.00 1.00 16.00 2.00 0.00 0.00 7.00 3.00 2.00 2.00 3.00 7.00 9.00 1.00 2.00 1.00 1.00 5.00 0.00 1.00 1.00 5.00 1.00 5.00 12.00 2.00 5.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 3.00 2.00 6.00 12.00 17.00 12.00 0.00 16.00 0.00 0.00 0.00 0.00 43.00 0.00 0.00
hsa-miR-6895-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-12117 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-22-5p 58.00 164.00 414.00 250.00 263.00 296.00 213.00 99.00 609.00 374.00 987.00 157.00 289.00 863.00 482.00 366.00 185.00 437.00 248.00 959.00 239.00 992.00 803.00 195.00 471.00 137.00 170.00 817.00 520.00 434.00 229.00 585.00 312.00 868.00 251.00 183.00 56.00 194.00 616.00 416.00 235.00 424.00 219.00 395.00 46.00 59.00 114.00 199.00 278.00 291.00 660.00 218.00 373.00 207.00 212.00 148.00 46.00 73.00 35.00 90.00 133.00 232.00 308.00 224.00 491.00 143.00 123.00 64.00 248.00 380.00 94.00 249.00 85.00 80.00 291.00 122.00 97.00 233.00 142.00 0.00
hsa-miR-3190-3p 1.00 1.00 5.00 3.00 7.00 3.00 7.00 1.00 2.00 7.00 10.00 6.00 3.00 7.00 6.00 1.00 3.00 7.00 6.00 26.00 11.00 24.00 12.00 0.00 21.00 4.00 12.00 16.00 6.00 7.00 5.00 10.00 8.00 10.00 4.00 11.00 1.00 4.00 9.00 10.00 5.00 6.00 3.00 5.00 0.00 0.00 5.00 8.00 7.00 7.00 8.00 2.00 8.00 5.00 12.00 4.00 0.00 0.00 0.00 0.00 3.00 5.00 6.00 8.00 0.00 2.00 0.00 0.00 15.00 22.00 0.00 47.00 0.00 35.00 19.00 45.00 22.00 0.00 39.00 0.00
hsa-miR-548m 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 3.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-18b-3p 30.00 10.00 14.00 4.00 1.00 2.00 4.00 9.00 8.00 10.00 2.00 21.00 16.00 3.00 10.00 9.00 5.00 2.00 18.00 3.00 4.00 2.00 4.00 0.00 2.00 0.00 0.00 2.00 4.00 0.00 1.00 8.00 0.00 0.00 11.00 3.00 4.00 3.00 2.00 0.00 1.00 0.00 1.00 4.00 0.00 2.00 0.00 4.00 1.00 2.00 0.00 0.00 2.00 0.00 1.00 2.00 3.00 8.00 3.00 0.00 3.00 3.00 4.00 2.00 19.00 26.00 0.00 2.00 3.00 0.00 0.00 0.00 0.00 23.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-28-5p 28.00 45.00 284.00 205.00 486.00 454.00 182.00 29.00 270.00 204.00 605.00 79.00 103.00 728.00 90.00 61.00 179.00 421.00 78.00 665.00 271.00 737.00 848.00 368.00 454.00 119.00 246.00 855.00 897.00 724.00 270.00 519.00 309.00 587.00 157.00 208.00 70.00 189.00 436.00 436.00 379.00 430.00 283.00 320.00 62.00 115.00 160.00 99.00 330.00 324.00 587.00 227.00 429.00 176.00 249.00 160.00 43.00 125.00 51.00 89.00 125.00 199.00 212.00 315.00 48.00 66.00 184.00 45.00 175.00 170.00 76.00 93.00 112.00 124.00 129.00 57.00 86.00 42.00 95.00 0.00
hsa-miR-6070 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-323a-3p 72.00 36.00 366.00 104.00 383.00 213.00 255.00 37.00 142.00 146.00 574.00 264.00 313.00 884.00 203.00 83.00 149.00 570.00 113.00 556.00 283.00 673.00 126.00 35.00 598.00 237.00 238.00 1061.00 258.00 182.00 312.00 995.00 447.00 423.00 55.00 89.00 163.00 206.00 563.00 576.00 517.00 865.00 215.00 428.00 29.00 80.00 126.00 83.00 106.00 185.00 283.00 109.00 329.00 228.00 207.00 102.00 36.00 80.00 39.00 80.00 218.00 484.00 384.00 367.00 25.00 109.00 529.00 137.00 847.00 1940.00 274.00 634.00 1451.00 196.00 1751.00 617.00 624.00 877.00 490.00 60.00
hsa-miR-8068 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3173-3p 0.00 6.00 5.00 4.00 4.00 4.00 9.00 11.00 11.00 14.00 5.00 8.00 8.00 9.00 12.00 9.00 2.00 1.00 6.00 4.00 10.00 6.00 5.00 0.00 5.00 2.00 5.00 8.00 2.00 2.00 2.00 10.00 3.00 0.00 9.00 4.00 0.00 1.00 8.00 7.00 1.00 5.00 0.00 4.00 0.00 5.00 2.00 20.00 4.00 0.00 4.00 2.00 5.00 0.00 0.00 3.00 0.00 2.00 0.00 1.00 3.00 6.00 4.00 0.00 5.00 7.00 1.00 0.00 3.00 18.00 0.00 14.00 0.00 0.00 0.00 0.00 0.00 0.00 17.00 0.00
hsa-miR-6861-5p 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 1.00 0.00 0.00 1.00 1.00 0.00 1.00 5.00 2.00 6.00 2.00 2.00 0.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 2.00 1.00 3.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 3.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6767-5p 9.00 9.00 14.00 3.00 6.00 6.00 7.00 16.00 18.00 7.00 10.00 7.00 13.00 18.00 5.00 14.00 6.00 15.00 22.00 21.00 27.00 22.00 11.00 0.00 9.00 7.00 8.00 16.00 11.00 5.00 5.00 12.00 3.00 4.00 9.00 6.00 0.00 1.00 10.00 13.00 4.00 7.00 1.00 2.00 2.00 4.00 3.00 6.00 7.00 13.00 13.00 5.00 7.00 1.00 9.00 3.00 2.00 3.00 0.00 1.00 7.00 8.00 8.00 9.00 4.00 9.00 0.00 3.00 28.00 69.00 0.00 49.00 31.00 15.00 72.00 15.00 0.00 32.00 0.00 0.00
hsa-miR-8061 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-519c-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6785-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-129-5p 0 14 6 6 2 0 4 2 10 6 2 6 12 4 6 14 8 8 8 10 20 4 18 0 14 4 2 8 4 10 4 2 12 2 4 2 6 4 0 2 0 6 6 8 0 2 4 2 2 4 8 12 4 10 0 2 2 16 0 4 6 4 6 6 20 4 4 2 22 26 0 12 22 24 0 0 0 106 0 100
hsa-miR-1295b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-9903 3.00 1.00 3.00 5.00 1.00 4.00 3.00 4.00 15.00 8.00 7.00 2.00 9.00 4.00 4.00 4.00 1.00 1.00 5.00 7.00 2.00 4.00 15.00 5.00 7.00 0.00 1.00 12.00 18.00 9.00 1.00 2.00 3.00 11.00 5.00 1.00 1.00 2.00 3.00 2.00 7.00 3.00 1.00 3.00 0.00 0.00 1.00 7.00 1.00 2.00 11.00 0.00 3.00 0.00 2.00 2.00 0.00 0.00 2.00 0.00 2.00 5.00 9.00 6.00 10.00 3.00 2.00 0.00 4.00 6.00 0.00 32.00 0.00 0.00 40.00 0.00 0.00 31.00 0.00 0.00
hsa-miR-4733-5p 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7159-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3136-3p 0.00 2.00 0.00 3.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-658 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-182-5p 33725.00 60819.00 11239.00 4317.00 1093.00 4165.00 13089.00 36690.00 27436.00 35032.00 10579.00 19254.00 30134.00 3276.00 8529.00 9466.00 27538.00 724.00 18166.00 2521.00 2560.00 3460.00 1860.00 696.00 1895.00 587.00 1025.00 3950.00 1025.00 942.00 1129.00 1813.00 887.00 1478.00 29891.00 1235.00 1147.00 578.00 3204.00 2341.00 1330.00 5121.00 1133.00 1323.00 705.00 1082.00 1102.00 20813.00 1002.00 1338.00 4616.00 2181.00 1820.00 2465.00 1679.00 1543.00 869.00 1912.00 700.00 1158.00 16793.00 16192.00 18955.00 2227.00 20081.00 24056.00 984.00 2084.00 23063.00 2719.00 1533.00 52391.00 6633.00 99189.00 7808.00 7985.00 5385.00 5359.00 7165.00 3941.00
hsa-miR-548ak 0.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 1.00 3.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 2.00 0.00 0.00 3.00 2.00 0.00 0.00 0.00 0.00 3.00 1.00 0.00 0.00 0.00 4.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 8.00 2.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 3.00 0.00 0.00 0.00 7.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5588-5p 0.00 1.00 3.00 0.00 2.00 1.00 2.00 0.00 3.00 3.00 1.00 0.00 1.00 3.00 0.00 0.00 0.00 2.00 1.00 2.00 4.00 3.00 1.00 0.00 1.00 0.00 0.00 4.00 1.00 0.00 1.00 0.00 0.00 2.00 1.00 2.00 0.00 0.00 0.00 6.00 1.00 4.00 2.00 3.00 0.00 1.00 0.00 0.00 0.00 2.00 4.00 3.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 2.00 1.00 5.00 7.00 2.00 4.00 3.00 0.00 0.00 0.00 10.00 12.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3143 13.00 84.00 40.00 20.00 18.00 26.00 20.00 33.00 193.00 101.00 110.00 36.00 44.00 75.00 200.00 234.00 33.00 21.00 27.00 48.00 22.00 41.00 27.00 2.00 32.00 6.00 5.00 40.00 44.00 20.00 12.00 36.00 14.00 47.00 73.00 11.00 4.00 2.00 36.00 27.00 9.00 10.00 13.00 34.00 4.00 4.00 9.00 50.00 21.00 14.00 54.00 23.00 20.00 17.00 17.00 12.00 7.00 8.00 2.00 6.00 26.00 27.00 29.00 12.00 255.00 71.00 16.00 13.00 23.00 21.00 0.00 79.00 28.00 31.00 102.00 42.00 0.00 30.00 0.00 0.00
hsa-miR-6529-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-504-5p 11.00 1.00 17.00 5.00 39.00 13.00 14.00 3.00 17.00 5.00 23.00 19.00 13.00 111.00 25.00 3.00 12.00 89.00 13.00 60.00 58.00 62.00 44.00 6.00 53.00 42.00 17.00 71.00 15.00 15.00 23.00 65.00 11.00 4.00 6.00 8.00 11.00 3.00 16.00 20.00 22.00 28.00 10.00 28.00 6.00 8.00 12.00 5.00 52.00 31.00 36.00 15.00 76.00 37.00 32.00 46.00 11.00 9.00 1.00 6.00 20.00 11.00 7.00 21.00 1.00 6.00 11.00 41.00 8.00 58.00 0.00 19.00 82.00 36.00 39.00 79.00 121.00 14.00 5.00 0.00
hsa-miR-411-3p 0.00 0.00 7.00 3.00 9.00 16.00 6.00 0.00 7.00 3.00 33.00 2.00 0.00 19.00 4.00 4.00 2.00 10.00 0.00 18.00 4.00 12.00 7.00 0.00 16.00 0.00 4.00 26.00 12.00 7.00 2.00 6.00 2.00 12.00 3.00 1.00 1.00 3.00 12.00 20.00 19.00 17.00 7.00 1.00 1.00 1.00 5.00 3.00 5.00 1.00 0.00 1.00 10.00 0.00 1.00 1.00 0.00 0.00 2.00 0.00 2.00 5.00 3.00 1.00 1.00 0.00 3.00 1.00 4.00 18.00 0.00 0.00 15.00 0.00 0.00 1.00 8.00 0.00 0.00 0.00
hsa-miR-4439 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7111-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6727-5p 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-514a-3p 3 3 6 3 24 24 9 0 147 102 9 0 0 3 6 3 12 6 0 18 0 18 15 15 0 0 9 9 39 39 3 0 0 3 0 0 0 9 6 3 0 6 0 3 0 3 3 0 9 3 9 18 0 3 12 0 0 0 0 0 9 18 21 0 0 3 0 3 27 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4672 0.00 6.00 2.00 1.00 0.00 0.00 0.00 1.00 8.00 10.00 0.00 0.00 0.00 1.00 1.00 3.00 0.00 0.00 4.00 3.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 1.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 7.00 1.00 1.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 5.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4714-3p 8.00 12.00 9.00 10.00 8.00 5.00 11.00 9.00 17.00 8.00 13.00 4.00 12.00 13.00 33.00 28.00 7.00 11.00 20.00 17.00 13.00 18.00 12.00 1.00 7.00 2.00 8.00 3.00 7.00 5.00 6.00 7.00 2.00 6.00 8.00 3.00 1.00 2.00 3.00 4.00 3.00 8.00 2.00 6.00 0.00 2.00 7.00 10.00 10.00 6.00 13.00 3.00 4.00 9.00 5.00 13.00 6.00 10.00 0.00 0.00 7.00 3.00 7.00 3.00 19.00 7.00 1.00 5.00 12.00 16.00 0.00 8.00 0.00 91.00 26.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4753-3p 0.00 2.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 7.00 1.00 0.00 2.00 1.00 1.00 0.00 0.00 1.00 0.00 2.00 5.00 0.00 0.00 0.00 0.00 2.00 1.00 2.00 3.00 0.00 0.00 4.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 2.00 2.00 2.00 0.00 0.00 0.00 0.00 9.00 20.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3925-5p 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1825 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
