miRNA 1A 1B 2A 2B 3A 3B 4A 4B 5A 5B 6A 6B 7A 7B 8A 8B 9A 9B 10A 10B 11A 11B 12A 12B 13A 13B 14A 14B 15A 15B 16A 16B 17A 17B 18A 18B 19A 19B 20A 20B 21A 21B 22A 22B 23A 23B 24A 24B 25A 25B 26A 26B 27A 27B 28A 28B 29A 29B 30A 30B
hsa-miR-5683 0.00 0.00 0.00 3.00 0.00 2.00 0.00 0.00 2.00 0.00 4.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 2.00 0.00 0.00 3.00 2.00 0.00 0.00 1.00 2.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00
hsa-miR-4675 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-629-5p 2675.00 3986.00 122.00 858.00 683.00 5452.00 2926.00 3458.00 6062.00 5439.00 4099.00 3242.00 2657.00 2326.00 3482.00 2579.00 1954.00 2175.00 3370.00 3122.00 4282.00 4637.00 1813.00 962.00 2464.00 2225.00 1944.00 1484.00 3500.00 1598.00 3092.00 3229.00 878.00 3031.00 3152.00 1592.00 1332.00 812.00 2732.00 1431.00 1267.00 580.00 1337.00 1049.00 1712.00 495.00 1612.00 3445.00 916.00 1523.00 1774.00 3254.00 925.00 852.00 1585.00 465.00 1688.00 1028.00 2691.00 2490.00
hsa-miR-6776-3p 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4423-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5009-5p 2.00 21.00 0.00 5.00 2.00 0.00 10.00 5.00 5.00 5.00 4.00 7.00 0.00 14.00 3.00 9.00 2.00 8.00 15.00 3.00 6.00 2.00 10.00 1.00 11.00 24.00 6.00 3.00 3.00 5.00 19.00 13.00 0.00 3.00 7.00 0.00 3.00 0.00 2.00 3.00 2.00 0.00 0.00 2.00 3.00 0.00 4.00 1.00 0.00 2.00 6.00 5.00 0.00 2.00 0.00 0.00 0.00 0.00 4.00 1.00
hsa-miR-6780b-3p 1.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 3.00 2.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00
hsa-miR-655-3p 6.00 54.00 4.00 16.00 0.00 78.00 14.00 22.00 37.00 8.00 59.00 5.00 0.00 9.00 4.00 6.00 19.00 29.00 2.00 4.00 23.00 26.00 20.00 2.00 14.00 22.00 28.00 2.00 7.00 1.00 16.00 24.00 3.00 11.00 10.00 4.00 1.00 2.00 5.00 3.00 4.00 5.00 3.00 4.00 4.00 2.00 11.00 12.00 4.00 0.00 8.00 23.00 1.00 2.00 12.00 8.00 14.00 9.00 3.00 9.00
hsa-miR-181d-5p 291.00 548.00 47.00 126.00 22.00 502.00 633.00 524.00 637.00 224.00 760.00 212.00 96.00 183.00 330.00 214.00 294.00 249.00 362.00 788.00 513.00 586.00 90.00 223.00 246.00 193.00 480.00 271.00 375.00 297.00 596.00 684.00 154.00 501.00 326.00 178.00 102.00 38.00 266.00 178.00 68.00 40.00 120.00 121.00 76.00 31.00 508.00 325.00 155.00 414.00 288.00 478.00 97.00 100.00 166.00 38.00 416.00 198.00 362.00 284.00
hsa-miR-4443 3.00 0.00 0.00 0.00 0.00 0.00 7.00 4.00 0.00 0.00 4.00 4.00 0.00 0.00 6.00 1.00 3.00 1.00 0.00 1.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 1.00 0.00 3.00 0.00 2.00 1.00 0.00 3.00 0.00 0.00 0.00 3.00 0.00 0.00 4.00 3.00 1.00 2.00 0.00 3.00 0.00 1.00 2.00 3.00 0.00 1.00 0.00 0.00 8.00 0.00 1.00 0.00
hsa-miR-4528 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2116-3p 6.00 3.00 0.00 3.00 2.00 6.00 8.00 11.00 13.00 15.00 2.00 1.00 7.00 6.00 1.00 8.00 1.00 0.00 9.00 17.00 5.00 11.00 1.00 12.00 3.00 2.00 0.00 1.00 3.00 3.00 8.00 11.00 4.00 6.00 7.00 0.00 4.00 0.00 12.00 4.00 1.00 0.00 5.00 7.00 3.00 3.00 8.00 2.00 4.00 2.00 3.00 10.00 1.00 3.00 2.00 0.00 5.00 2.00 7.00 7.00
hsa-miR-6895-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-12117 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-22-5p 288.00 855.00 68.00 146.00 43.00 696.00 512.00 717.00 614.00 301.00 824.00 284.00 54.00 365.00 171.00 266.00 243.00 265.00 249.00 498.00 388.00 453.00 304.00 131.00 498.00 443.00 365.00 210.00 302.00 170.00 564.00 624.00 72.00 602.00 261.00 131.00 65.00 78.00 185.00 125.00 59.00 33.00 108.00 69.00 87.00 31.00 352.00 222.00 68.00 156.00 197.00 468.00 77.00 92.00 106.00 68.00 281.00 109.00 170.00 260.00
hsa-miR-3190-3p 2.00 20.00 1.00 0.00 0.00 11.00 18.00 17.00 19.00 6.00 7.00 5.00 0.00 7.00 8.00 14.00 6.00 6.00 10.00 16.00 10.00 9.00 4.00 3.00 4.00 13.00 5.00 4.00 14.00 7.00 16.00 17.00 5.00 15.00 9.00 0.00 1.00 0.00 5.00 15.00 4.00 0.00 0.00 3.00 1.00 0.00 7.00 2.00 1.00 10.00 7.00 15.00 6.00 4.00 0.00 0.00 3.00 2.00 5.00 8.00
hsa-miR-548m 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-18b-3p 3.00 7.00 0.00 4.00 2.00 1.00 1.00 5.00 9.00 2.00 4.00 3.00 9.00 8.00 3.00 25.00 5.00 14.00 4.00 2.00 2.00 2.00 12.00 4.00 14.00 10.00 5.00 3.00 4.00 1.00 16.00 21.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 1.00 0.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 1.00 1.00
hsa-miR-28-5p 167.00 611.00 81.00 93.00 22.00 340.00 414.00 753.00 482.00 226.00 991.00 250.00 38.00 196.00 192.00 157.00 250.00 204.00 246.00 561.00 358.00 465.00 138.00 153.00 291.00 292.00 216.00 121.00 227.00 210.00 441.00 380.00 99.00 297.00 212.00 149.00 88.00 46.00 157.00 115.00 98.00 56.00 67.00 59.00 67.00 31.00 244.00 180.00 85.00 220.00 222.00 311.00 53.00 72.00 126.00 66.00 249.00 109.00 145.00 155.00
hsa-miR-6070 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-323a-3p 424.00 758.00 47.00 319.00 50.00 541.00 1266.00 1262.00 1046.00 313.00 564.00 316.00 79.00 291.00 597.00 577.00 992.00 1562.00 91.00 137.00 701.00 638.00 171.00 306.00 207.00 147.00 393.00 263.00 337.00 147.00 844.00 1594.00 123.00 428.00 118.00 119.00 82.00 31.00 256.00 330.00 61.00 33.00 100.00 109.00 227.00 80.00 760.00 539.00 39.00 53.00 600.00 751.00 177.00 174.00 343.00 140.00 692.00 321.00 440.00 448.00
hsa-miR-8068 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3173-3p 2.00 4.00 0.00 0.00 1.00 3.00 7.00 10.00 7.00 8.00 10.00 4.00 0.00 3.00 2.00 9.00 0.00 8.00 0.00 4.00 3.00 19.00 7.00 3.00 9.00 11.00 5.00 3.00 3.00 3.00 12.00 12.00 1.00 8.00 9.00 0.00 0.00 1.00 3.00 1.00 0.00 0.00 0.00 0.00 4.00 0.00 3.00 2.00 3.00 4.00 9.00 4.00 1.00 0.00 0.00 0.00 3.00 0.00 8.00 2.00
hsa-miR-6861-5p 1.00 3.00 0.00 0.00 0.00 1.00 3.00 4.00 0.00 4.00 2.00 0.00 0.00 0.00 6.00 3.00 2.00 3.00 0.00 6.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 3.00 4.00 0.00 2.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 5.00 1.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 2.00 1.00
hsa-miR-6767-5p 11.00 16.00 1.00 2.00 0.00 11.00 22.00 26.00 20.00 20.00 11.00 14.00 0.00 7.00 4.00 30.00 10.00 14.00 12.00 17.00 19.00 11.00 8.00 5.00 11.00 11.00 4.00 10.00 23.00 7.00 17.00 22.00 4.00 10.00 7.00 1.00 2.00 1.00 5.00 9.00 2.00 3.00 0.00 1.00 3.00 0.00 7.00 5.00 1.00 4.00 5.00 11.00 5.00 2.00 4.00 3.00 10.00 0.00 1.00 18.00
hsa-miR-8061 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-519c-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6785-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-129-5p 18 2 0 3 4 2 10 6 0 12 2 2 0 6 6 2 2 4 16 6 4 18 6 46 8 10 0 6 10 4 8 4 10 8 0 0 2 0 2 0 0 0 0 2 8 6 12 8 2 0 6 10 2 2 8 0 6 0 0 8
hsa-miR-1295b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-9903 1.00 4.00 0.00 2.00 2.00 8.00 7.00 7.00 4.00 3.00 6.00 3.00 1.00 3.00 1.00 1.00 3.00 2.00 1.00 2.00 2.00 6.00 15.00 0.00 21.00 20.00 5.00 2.00 2.00 1.00 4.00 5.00 0.00 4.00 3.00 3.00 1.00 0.00 2.00 0.00 4.00 0.00 0.00 2.00 0.00 0.00 3.00 0.00 0.00 5.00 0.00 10.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 6.00
hsa-miR-4733-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7159-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3136-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-658 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-182-5p 1275.00 16572.00 182.00 8555.00 11590.00 1895.00 2171.00 6483.00 2864.00 2014.00 2024.00 6888.00 959.00 15733.00 619.00 4746.00 1784.00 11674.00 2834.00 3033.00 2787.00 2851.00 26497.00 1175.00 20286.00 33351.00 9608.00 16007.00 2905.00 1661.00 17499.00 9006.00 358.00 1874.00 1672.00 571.00 555.00 418.00 1694.00 778.00 689.00 408.00 1938.00 1156.00 1834.00 1529.00 1625.00 1030.00 446.00 1412.00 1325.00 2458.00 942.00 972.00 852.00 408.00 1224.00 990.00 1525.00 1993.00
hsa-miR-548ak 0.00 1.00 0.00 0.00 0.00 3.00 2.00 4.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 3.00 0.00 2.00 3.00 0.00 0.00 6.00 1.00 3.00 1.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 2.00 1.00 0.00 0.00 2.00 0.00 1.00
hsa-miR-5588-5p 2.00 4.00 0.00 0.00 0.00 0.00 1.00 8.00 7.00 5.00 2.00 4.00 4.00 3.00 0.00 4.00 3.00 2.00 1.00 7.00 5.00 3.00 1.00 0.00 0.00 1.00 2.00 1.00 6.00 0.00 7.00 2.00 0.00 6.00 4.00 0.00 0.00 1.00 0.00 3.00 0.00 0.00 1.00 8.00 0.00 0.00 3.00 1.00 0.00 1.00 5.00 1.00 0.00 3.00 1.00 0.00 2.00 0.00 1.00 3.00
hsa-miR-3143 6.00 96.00 0.00 18.00 10.00 68.00 15.00 54.00 70.00 69.00 68.00 44.00 12.00 25.00 7.00 122.00 16.00 31.00 35.00 14.00 30.00 27.00 99.00 9.00 108.00 92.00 50.00 21.00 30.00 13.00 61.00 46.00 4.00 34.00 23.00 4.00 2.00 1.00 11.00 6.00 7.00 4.00 11.00 4.00 14.00 2.00 25.00 17.00 10.00 7.00 6.00 25.00 5.00 0.00 11.00 8.00 2.00 0.00 9.00 13.00
hsa-miR-6529-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-504-5p 16.00 29.00 0.00 6.00 5.00 38.00 63.00 54.00 110.00 153.00 57.00 31.00 27.00 44.00 125.00 88.00 36.00 34.00 24.00 32.00 53.00 52.00 14.00 16.00 6.00 6.00 9.00 12.00 98.00 38.00 14.00 13.00 4.00 6.00 50.00 18.00 25.00 16.00 28.00 13.00 6.00 2.00 47.00 47.00 25.00 4.00 40.00 49.00 22.00 33.00 28.00 53.00 21.00 13.00 4.00 3.00 69.00 21.00 14.00 17.00
hsa-miR-411-3p 3.00 31.00 1.00 4.00 1.00 6.00 9.00 15.00 35.00 12.00 33.00 10.00 0.00 9.00 4.00 13.00 24.00 17.00 2.00 7.00 24.00 16.00 3.00 9.00 7.00 5.00 9.00 2.00 3.00 4.00 25.00 19.00 2.00 2.00 3.00 1.00 3.00 0.00 5.00 1.00 0.00 2.00 2.00 1.00 2.00 1.00 2.00 5.00 0.00 0.00 3.00 2.00 2.00 0.00 1.00 3.00 3.00 2.00 5.00 1.00
hsa-miR-4439 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7111-3p 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6727-5p 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00
hsa-miR-514a-3p 0 6 0 6 6 3 3 9 15 0 6 3 0 0 0 0 15 0 0 12 3 6 15 0 18 15 6 9 0 0 15 3 0 0 9 0 9 12 12 6 9 0 0 0 0 0 9 3 0 0 0 12 0 0 0 0 18 0 0 0
hsa-miR-4672 1.00 5.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 8.00 0.00 3.00 0.00 3.00 0.00 4.00 0.00 2.00 0.00 1.00 0.00 0.00 8.00 1.00 6.00 8.00 2.00 2.00 0.00 0.00 4.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4714-3p 13.00 36.00 0.00 1.00 1.00 15.00 5.00 10.00 22.00 21.00 17.00 8.00 8.00 14.00 14.00 27.00 3.00 8.00 9.00 8.00 17.00 23.00 25.00 7.00 25.00 24.00 10.00 7.00 15.00 5.00 15.00 18.00 7.00 13.00 17.00 2.00 7.00 3.00 13.00 5.00 5.00 3.00 4.00 3.00 1.00 1.00 2.00 13.00 1.00 9.00 1.00 9.00 5.00 2.00 2.00 0.00 5.00 0.00 3.00 13.00
hsa-miR-4753-3p 0.00 1.00 0.00 1.00 2.00 0.00 1.00 4.00 2.00 1.00 3.00 1.00 0.00 2.00 0.00 4.00 0.00 2.00 0.00 1.00 3.00 0.00 2.00 0.00 4.00 3.00 0.00 3.00 0.00 0.00 3.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 3.00 0.00 0.00 0.00 1.00 0.00
hsa-miR-3925-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1825 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-132-5p 13.00 65.00 4.00 9.00 1.00 38.00 34.00 84.00 57.00 51.00 69.00 42.00 5.00 57.00 10.00 42.00 20.00 63.00 34.00 57.00 48.00 51.00 45.00 18.00 52.00 47.00 27.00 19.00 29.00 6.00 102.00 94.00 4.00 36.00 27.00 6.00 3.00 7.00 14.00 20.00 10.00 1.00 6.00 16.00 5.00 3.00 15.00 13.00 6.00 13.00 20.00 38.00 7.00 7.00 8.00 1.00 16.00 6.00 14.00 28.00
hsa-miR-4699-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6509-5p 4.00 3.00 0.00 2.00 0.00 8.00 3.00 1.00 3.00 15.00 1.00 0.00 6.00 2.00 0.00 4.00 0.00 3.00 7.00 5.00 6.00 7.00 0.00 0.00 2.00 1.00 1.00 0.00 4.00 1.00 5.00 3.00 1.00 4.00 5.00 0.00 5.00 0.00 2.00 5.00 0.00 0.00 3.00 0.00 3.00 0.00 3.00 7.00 7.00 2.00 6.00 0.00 0.00 0.00 5.00 0.00 3.00 2.00 4.00 2.00
hsa-miR-5787 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
